Temperament\Ratio,13/9,5/3,17/9,11/5,7/3,13/5,3,17/5,11/3,4,13/3,5,17/3,6,7,8,9,10,11,12,13,14,15,16,17,18
10,30.514716698779807,36.96559416620626,17.537839808027034,37.50352374993513,22.392421336448088,21.488376746270244,15.037499278843903,34.46525363702313,25.53088208385901,0.0,15.477217419935657,21.928094887362192,2.5003405291834646,15.037499278843903,7.35492205760413,0.0,30.07499855768786,21.928094887362192,40.56838136270269,15.037499278843903,0.43971814109222684,7.35492205760413,6.890595608518679,0.0,12.53715874966091,30.07499855768786
11,14.939828755765605,9.692866893478925,8.446930717117995,44.31465806824669,40.574239518266275,14.875259617366133,39.507955266610665,38.26201909024962,34.62179117476805,0.0,24.568126510844753,41.70826874900146,42.95420492536195,39.507955266610665,10.82689612421406,0.0,11.893180375869672,41.70826874900146,4.886164091842781,39.507955266610665,26.83300913163511,10.82689612421406,2.200313482390359,0.0,3.4462496587518157,11.893180375869672
12,30.514716698779807,13.034405833793784,0.8711731413604262,29.163142916731527,27.6075786635519,38.155043412936905,1.6291673878227053,15.534746362976914,41.135784582807645,0.0,32.143884086602334,11.405238445971133,2.5003405291834646,1.6291673878227053,25.978411275729197,0.0,3.258334775645494,11.405238445971133,40.56838136270269,1.6291673878227053,33.77305147442555,25.978411275729197,9.776071058147927,0.0,4.129507917005768,3.258334775645494
13,7.946821762758627,32.26517506456305,5.539083268896072,16.342630096218723,8.376809432782684,6.103761361654858,30.422114663459343,3.696022867792359,28.31527176229487,0.0,38.36893642621819,14.235787195054472,35.96119793235497,30.422114663459343,38.1241528268349,0.0,16.078847596158298,14.235787195054472,2.106842901164252,30.422114663459343,8.132025833399892,38.1241528268349,16.18632746840443,0.0,10.53976432726217,16.078847596158298
23,8.775586263997216,2.1648406164024303,4.494361547157544,7.068741141239482,5.001116988622018,12.792724572357194,19.745109416808294,17.07394928919703,4.903900524836691,0.0,14.957565188759986,17.58026880040564,19.23878990559913,19.745109416808294,18.732034464134962,0.0,3.9880420359487134,17.58026880040564,18.829250927920093,19.745109416808294,4.7875442280487235,18.732034464134962,6.152882652350811,0.0,0.5063195112086638,3.9880420359487134
24,11.151949967886821,13.034405833793784,0.8711731413604262,12.50352374993513,14.059088003114756,3.5116232537297787,1.6291673878227053,15.534746362976914,0.5308820838589856,0.0,9.522782580064337,11.405238445971133,2.5003405291834646,1.6291673878227053,15.688255390937545,0.0,3.258334775645494,11.405238445971133,1.0982853039639973,1.6291673878227053,7.893615192241188,15.688255390937545,9.776071058147927,0.0,4.129507917005768,3.258334775645494
26,7.946821762758627,6.1963633969754905,5.539083268896072,16.342630096218723,8.376809432782684,6.103761361654858,8.039423798079204,3.696022867792359,10.146266699243567,0.0,0.09260203532027167,14.235787195054472,2.5003405291834646,8.039423798079204,0.33738563470353533,0.0,16.078847596158298,14.235787195054472,2.106842901164252,8.039423798079204,8.132025833399892,0.33738563470353533,16.18632746840443,0.0,10.53976432726217,16.078847596158298
28,5.199569015505889,13.034405833793784,11.033588763401546,5.353619107207718,8.106707050733824,14.34551960341307,13.533929292584679,15.534746362976914,17.32626077328392,0.0,8.334360277078526,0.49952345879072935,2.5003405291834646,13.533929292584679,14.073649370967223,0.0,8.646427129116423,0.49952345879072935,4.8540956484169895,13.533929292584679,13.84599614462212,14.073649370967223,14.033452751375798,0.0,16.034269821767673,8.646427129116423
37,10.025823841760761,7.235864436476502,1.381079110891914,2.3683886147999877,6.17620512023187,0.1332448753513793,9.632093873438553,8.777989606220116,9.604253051276102,0.0,7.369109311827549,2.3962294369621606,11.013172984330023,9.632093873438553,3.4558887532066818,0.0,7.76283928014998,2.3962294369621606,0.027840822162172874,9.632093873438553,2.2629845616105593,3.4558887532066818,12.028323310400268,0.0,6.38176016925801,7.76283928014998
41,6.07064915487876,5.258277093035502,9.291428484655917,8.837939664699007,2.8802262144968784,11.732279185294626,0.4033529373804745,9.437185387367153,3.5796625716638664,0.0,6.4740020922594566,4.85492415565486,9.694781422036058,0.4033529373804745,2.4768732771163204,0.0,0.8067058747610323,4.85492415565486,3.9830155090441743,0.4033529373804745,6.877355029639487,2.4768732771163204,4.451571218274775,0.0,10.098134359417005,0.8067058747610323
